PROJECT_NAME,MainBlgVAVInternalAct,,,,,,,,,,,,,,,
VERSION_OF_REFERENCEFILE,1,,,,,,,,,,,,,,,
TIMESTAMP_OF_LAST_CHANGE,5/15/2020 10:30:08 AM,,,,,,,,,,,,,,,
AUTHOR_OF_LAST_CHANGE,micha,,,,,,,,,,,,,,,
VERSION_OF_LAYOUT,2.1,,,,,,,,,,,,,,,
#keyname,device-object-instance,object-name,object-type,object-instance,description,present-value-default,min-present-value,max-present-value,commandable,supports-COV,hi-limit,low-limit,state-text-reference,unit-code,vendor-specific-address,program-object-instance
MainBlgVAVInternalAct_ActFlow,1,ActFlow,2,1,Actual Flow Reading,0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_HeatOut1,1,HeatOut1,4,1,Heating Output 1,0,,,Y,Y,,,,,,
MainBlgVAVInternalAct_DischTempHWI,1,DischTempHWI,0,1,Discharge Temperature,0,,,N,Y,,,,4,,
MainBlgVAVInternalAct_HardwareInput2,1,Hardware Input 2,0,2,,0,,,N,Y,,,,4,,
MainBlgVAVInternalAct_ActFlowSP,1,ActFlowSP,2,2,Actual Flow Setpoint,0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_SpaceTemp,1,SpaceTemp,2,5,Actual Space Temperature,999,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_DuctInTemp,1,DuctInTemp,2,6,Duct Inlet Temperature,0,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_HardwareOutput2,1,Hardware Output 2,4,2,,0,,,Y,Y,,,,,,
MainBlgVAVInternalAct_SetPtOffset,1,SetPtOffset,2,7,SetPoint Offset,0,,,Y,Y,,,,120,,
MainBlgVAVInternalAct_UnitStatus,1,UnitStatus,5,1,Unit Status from AHU,1,,,N,Y,,,25,,,
MainBlgVAVInternalAct_OutdoorTemp,1,OutdoorTemp,2,8,Outdoor Air Temperature,55,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_DamperOvr,1,DamperOvr,2,9,Damper Override,0,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_CO2Sensor,1,CO2Sensor,2,10,Actual CO2 Detection,0,,,Y,Y,,,,96,,
MainBlgVAVInternalAct_Shedding,1,Shedding,2,11,Shedding Demand (0-100%),0,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_DischAirSP,1,DischAirSP,2,12,Discharge Air Setpoint,55,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_CO2Setpoint,1,CO2Setpoint,2,52,Space CO2 Setpoint,1000,,,Y,Y,,,,96,,
MainBlgVAVInternalAct_CO2Load,1,CO2Load,2,53,CO2 Load (0-100%),0,,,N,Y,,,,98,,
MainBlgVAVInternalAct_CommFailDelay,1,CommFailDelay,2,54,Communication Failure Delay,900,,,Y,Y,,,,73,,
MainBlgVAVInternalAct_MaxDischAirSP,1,MaxDischAirSP,2,56,Maximum Discharge Air Setpoint for Duct Heater Reheat,90,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_Heat1,1,Heat1,2,13,Heat1 Output Control,0,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_Heat2,1,Heat2,2,14,Heat2 Output Control,0,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_Heat3,1,Heat3,2,15,Heat3 Output Control,0,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_DischargeTemp,1,DischargeTemp,2,16,Discharge Air Temperature,0,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_MinFlowSP,1,MinFlowSP,2,26,Minimum Flow Setpoint,100,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_MaxFlowCoolSP,1,MaxFlowCoolSP,2,27,Cooling Maximum Flow Setpoint,500,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_MinFlowHeatSP,1,MinFlowHeatSP,2,28,Heating Minimum Flow Setpoint,100,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_MaxFlowHeatSP,1,MaxFlowHeatSP,2,29,Heating Maximum Flow Setpoint,300,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_MinFlowStbySP,1,MinFlowStbySP,2,30,Standby Minimum Flow Setpoint,50,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_MinFlowUnoccSP,1,MinFlowUnoccSP,2,31,Unoccupied Minimum Flow Setpoint,0,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_KFactor,1,KFactor,2,32,Internal Flow Sensor K Factor,845,,,Y,Y,,,,95,,
MainBlgVAVInternalAct_FlowCalib,1,FlowCalib,2,33,Internal Flow Sensor Calibration,0,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_DamperResp,1,DamperResp,2,34,Damper Response,15,,,Y,Y,,,,98,,
MainBlgVAVInternalAct_DamperSpeed,1,DamperSpeed,2,35,Damper Speed,95,,,Y,Y,,,,73,,
MainBlgVAVInternalAct_ActCoolSP,1,ActCoolSP,2,36,Actual Cooling Setpoint,0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_ActHeatSP,1,ActHeatSP,2,37,Actual Heating Setpoint,0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_UnoccCoolSP,1,UnoccCoolSP,2,38,Unoccupied Cooling Setpoint,80,,,Y,Y,,,,64,,
