PROJECT_NAME,2ChillerProgram111020
VERSION_OF_REFERENCEFILE,1.0
TIMESTAMP_OF_LAST_CHANGE,1/5/2021 3:14:53 PM
AUTHOR_OF_LAST_CHANGE,micha
VERSION_OF_LAYOUT,2.1
#keyname,device-object-instance,object-name,object-type,object-instance,description,present-value-default,min-present-value,max-present-value,commandable,supports-COV,hi-limit,low-limit,state-text-reference,unit-code,vendor-specific-address,program-object-instance
2ChillerProgram111020_Chiller1Status,55151,Chiller1Status,3,101,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_CHWPump1Status,55151,CHWPump1Status,3,102,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_CWPump1Status,55151,CWPump1Status,3,103,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_Tower1Fan1Status,55151,Tower1Fan1Status,3,104,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_CHWSupplyTemp,55151,CHWSupplyTemp,0,105,,0.0,,,N,Y,,,,4,,
2ChillerProgram111020_CHWReturnTemp,55151,CHWReturnTemp,0,106,,0.0,,,N,Y,,,,4,,
2ChillerProgram111020_CWReturnTemp,55151,CWReturnTemp,0,107,,0.0,,,N,Y,,,,4,,
2ChillerProgram111020_CWSupplyTemp,55151,CWSupplyTemp,0,108,,0.0,,,N,Y,,,,4,,
2ChillerProgram111020_Chiller1SS,55151,Chiller1SS,4,101,,0,,,Y,N,,,3,,,
2ChillerProgram111020_CHWPump1SS,55151,CHWPump1SS,4,102,,0,,,Y,N,,,3,,,
2ChillerProgram111020_CWPump1SS,55151,CWPump1SS,4,103,,0,,,Y,N,,,3,,,
2ChillerProgram111020_Tower1Fan1SS,55151,Tower1Fan1SS,4,104,,0,,,Y,N,,,3,,,
2ChillerProgram111020_Tower1Fan2SS,55151,Tower1Fan2SS,4,105,,0,,,Y,N,,,3,,,
2ChillerProgram111020_Tower2FanSpeed,55151,Tower2FanSpeed,1,106,,0.0,0,10,Y,N,,,,98,,
2ChillerProgram111020_Chiller2Status,55151,Chiller2Status,3,201,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_CHWPump2Status,55151,CHWPump2Status,3,202,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_CWPump2Status,55151,CWPump2Status,3,203,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_Tower2FanStatus,55151,Tower2FanStatus,3,204,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_Tower1Fan2Status,55151,Tower1Fan2Status,3,205,,0.0,,,N,Y,,,2,,,
2ChillerProgram111020_OAHumdity,55151,OAHumdity,0,206,,0.0,0.0,100.0,N,Y,,,,5,,
2ChillerProgram111020_CWReturnTemp1,55151,CWReturnTemp 1,0,207,,0.0,,,N,Y,,,,4,,
2ChillerProgram111020_Chiller2SS,55151,Chiller2SS,4,201,,0,,,Y,N,,,3,,,
2ChillerProgram111020_CHWPump2SS,55151,CHWPump2SS,4,202,,0,,,Y,N,,,3,,,
2ChillerProgram111020_CWPump2SS,55151,CWPump2SS,4,203,,0,,,Y,N,,,3,,,
2ChillerProgram111020_TowerFan2SS,55151,TowerFan2SS,4,204,,0,,,Y,N,,,3,,,
2ChillerProgram111020_TowerFan2Speed,55151,TowerFan2Speed,1,205,,0.0,0,10,Y,N,,,,98,,
2ChillerProgram111020_CHWSupplySP,55151,CHWSupplySP,2,1,,44.0,,,Y,Y,,,,64,,
2ChillerProgram111020_OATempLockoutSP,55151,OATempLockoutSP,2,2,,45.0,,,Y,Y,,,,64,,
2ChillerProgram111020_FreezeProtectionSP,55151,FreezeProtectionSP,2,3,,35.0,,,Y,Y,,,,64,,
2ChillerProgram111020_OccupancyCmd,55151,OccupancyCmd,5,1,,True,,,Y,Y,,,4,,,
2ChillerProgram111020_LeadChiller,55151,LeadChiller,5,2,,True,,,Y,Y,,,5,,,
